shanghai=1;直接伤害
hudun=2;护盾效果
shengmingliushi=3;生命流失
zhiliao=4;治疗
dancishuxingjianshao=5;单次属性降低
dancishuxingzengjia=6;单次属性增加
shuxingzengjia=7;属性增加
shuxingjianshao=8;属性降低
shuxingshezhi=9;属性设置
zhijieshanghaishuxing=10;直接伤害（属性）
huodebuff=12;获得（固定ID）BUFF
yichuzubuff=13;移除（组ID）BUFF
yichuidbuff=14;移除（固定ID）BUFF
suijitianjiabuff=15;从组中随机增加X个BUFFY层（组中选择）
suijiqusanbuff=16;随机移除X个增益BUFF
suijijinghuadebuff=17;随机移除X个减益BUFF
buffzengjia=18;所有增益buff的层数+X
debuffzengjia=19;所有减益buff的层数+X
buffjianshao=20;所有增益buff的层数-X
debuffjianshao=21;所有减益buff的层数-X
suijitianjiameiyoubuff=22;从组中随机增加X个BUFFY层（优先选择组中没有的）
hunlizengjia=30;增加固定魂力值/千分比
hunlijianshao=31;扣除魂力值/千分比
xiquhunli=32;吸取固定魂力值/千分比
tianjiabeidong=39;添加passive_info ID被动，Y个
yichubeidong=40;移除passive_info ID被动，Y个
zengjiatuanduidian=50;增加团队能量点
kouchutuanduidian=51;扣除团队能量点
cdjiangdi=52;冷却降低X
cdzengjia=53;冷却增加X
cdshezhiwei=54;冷却设置为X
cdchongzhi=55;单次冷却重置正常态
lianjizhi=56;增加连击值
xiezhugongji=57;进行协助攻击
yinbaozhuoshao=60;引爆所有灼烧（组ID=1）
yinbaozhongdu=61;引爆所有中毒（组ID=2）
zhansha=62;斩杀（无视“不屈”buff，直接击杀目标，可以被复活）
miewang=63;灭亡（被带有该效果的技能击杀无法复活）
zhaohuan=64;以monster_info表数据，召唤怪物至X号位置
fuhuo=65;随机X个角色，以Y%血量复活
wufaxingdong=66;无法行动
suodinggudingzhi=67;生命值锁定下限固定值/比例
xiaohaojiangdi=75;大招能量消耗减少
xiaohaozengjia=76;大招能量消耗增加
xiaohaoshezhi=77;大招能量消耗设置
hunlishangxianzengjia=78;魂力上限增加
hunlishangxianjianshao=79;魂力上限扣除
yichushezhishuxing=80;移除idxeffect的设置属性
wufatianjiazuidbuff=81;无法添加X组id的buff
wufatianjiagudingidbuff=82;无法添加X固定id的buff
dotshanghaigongfang=101;DOT伤害(攻防)
dotshanghaishuxing=102;DOT伤害(属性)
